timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
889.5,2025-12-01T14:49:30+00:00,LOCO_04,locomotive,retrofitted1,WS_02,
889.5,2025-12-01T14:49:30+00:00,W0009,wagon,WS_02,,WS_02|retrofitted1
889.5,2025-12-01T14:49:30+00:00,W0010,wagon,WS_02,,WS_02|retrofitted1
889.5,2025-12-01T14:49:30+00:00,LOCO_01,locomotive,retrofitted1,WS_03,
889.5,2025-12-01T14:49:30+00:00,W0011,wagon,WS_03,,WS_03|retrofitted1
889.5,2025-12-01T14:49:30+00:00,W0012,wagon,WS_03,,WS_03|retrofitted1
894.0,2025-12-01T14:54:00+00:00,LOCO_02,locomotive,track_19,retrofit1,
894.5,2025-12-01T14:54:30+00:00,W0007,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,W0008,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,LOCO_03,locomotive,track_19,retrofitted1,
894.5,2025-12-01T14:54:30+00:00,W0009,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,W0010,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,LOCO_04,locomotive,track_19,retrofitted1,
894.5,2025-12-01T14:54:30+00:00,W0011,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,W0012,wagon,retrofitted1,,
894.5,2025-12-01T14:54:30+00:00,LOCO_01,locomotive,track_19,retrofitted1,
899.0,2025-12-01T14:59:00+00:00,LOCO_02,locomotive,retrofitted1,track_19,
899.5,2025-12-01T14:59:30+00:00,LOCO_03,locomotive,collection1,track_19,
901.5,2025-12-01T15:01:30+00:00,LOCO_04,locomotive,retrofit1,track_19,
901.5,2025-12-01T15:01:30+00:00,LOCO_01,locomotive,retrofit1,track_19,
908.0,2025-12-01T15:08:00+00:00,LOCO_02,locomotive,parking11,retrofitted1,
909.5,2025-12-01T15:09:30+00:00,LOCO_04,locomotive,WS_01,retrofit1,
909.5,2025-12-01T15:09:30+00:00,W0013,wagon,retrofit1,,retrofit1|WS_01
909.5,2025-12-01T15:09:30+00:00,W0014,wagon,retrofit1,,retrofit1|WS_01
909.5,2025-12-01T15:09:30+00:00,LOCO_01,locomotive,WS_02,retrofit1,
909.5,2025-12-01T15:09:30+00:00,W0015,wagon,retrofit1,,retrofit1|WS_02
909.5,2025-12-01T15:09:30+00:00,W0016,wagon,retrofit1,,retrofit1|WS_02
914.5,2025-12-01T15:14:30+00:00,W0013,wagon,WS_01,,
914.5,2025-12-01T15:14:30+00:00,W0014,wagon,WS_01,,
914.5,2025-12-01T15:14:30+00:00,W0015,wagon,WS_02,,
914.5,2025-12-01T15:14:30+00:00,W0016,wagon,WS_02,,
920.5,2025-12-01T15:20:30+00:00,W0013,wagon,WS_01,,
920.5,2025-12-01T15:20:30+00:00,W0014,wagon,WS_01,,
920.5,2025-12-01T15:20:30+00:00,W0015,wagon,WS_02,,
920.5,2025-12-01T15:20:30+00:00,W0016,wagon,WS_02,,
920.5,2025-12-01T15:20:30+00:00,LOCO_04,locomotive,track_19,WS_01,
920.5,2025-12-01T15:20:30+00:00,LOCO_01,locomotive,track_19,WS_02,
927.5,2025-12-01T15:27:30+00:00,LOCO_04,locomotive,retrofit1,track_19,
935.5,2025-12-01T15:35:30+00:00,LOCO_04,locomotive,WS_03,retrofit1,
935.5,2025-12-01T15:35:30+00:00,W0017,wagon,retrofit1,,retrofit1|WS_03
935.5,2025-12-01T15:35:30+00:00,W0018,wagon,retrofit1,,retrofit1|WS_03
936.0,2025-12-01T15:36:00+00:00,W0039,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0040,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0041,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0042,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0043,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0044,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0045,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0046,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0047,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0048,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0049,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0050,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0051,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0052,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0053,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0054,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0055,wagon,collection1,,
936.0,2025-12-01T15:36:00+00:00,W0056,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0057,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0058,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0059,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0060,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0061,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0063,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0064,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,W0065,wagon,collection2,,
936.0,2025-12-01T15:36:00+00:00,LOCO_01,locomotive,collection2,track_19,
940.5,2025-12-01T15:40:30+00:00,W0017,wagon,WS_03,,
940.5,2025-12-01T15:40:30+00:00,W0018,wagon,WS_03,,
946.5,2025-12-01T15:46:30+00:00,W0017,wagon,WS_03,,
946.5,2025-12-01T15:46:30+00:00,W0018,wagon,WS_03,,
946.5,2025-12-01T15:46:30+00:00,LOCO_04,locomotive,track_19,WS_03,
973.5,2025-12-01T16:13:30+00:00,W0007,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,W0008,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,W0009,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,W0010,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,W0011,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,W0012,wagon,parking11,,
973.5,2025-12-01T16:13:30+00:00,LOCO_02,locomotive,track_19,parking11,
981.0,2025-12-01T16:21:00+00:00,LOCO_04,locomotive,WS_01,track_19,
988.0,2025-12-01T16:28:00+00:00,LOCO_04,locomotive,retrofitted1,WS_01,
988.0,2025-12-01T16:28:00+00:00,W0013,wagon,WS_01,,WS_01|retrofitted1
988.0,2025-12-01T16:28:00+00:00,W0014,wagon,WS_01,,WS_01|retrofitted1
990.5,2025-12-01T16:30:30+00:00,LOCO_03,locomotive,retrofit2,collection1,
990.5,2025-12-01T16:30:30+00:00,W0023,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0024,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0025,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0026,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0027,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0028,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0029,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0030,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0031,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0032,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0033,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0034,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0035,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0036,wagon,collection1,,collection1|Mainline|retrofit2
990.5,2025-12-01T16:30:30+00:00,W0037,wagon,collection1,,collection1|Mainline|retrofit2
993.0,2025-12-01T16:33:00+00:00,W0013,wagon,retrofitted1,,
993.0,2025-12-01T16:33:00+00:00,W0014,wagon,retrofitted1,,
993.0,2025-12-01T16:33:00+00:00,LOCO_04,locomotive,track_19,retrofitted1,
998.0,2025-12-01T16:38:00+00:00,LOCO_04,locomotive,WS_02,track_19,
1005.0,2025-12-01T16:45:00+00:00,LOCO_04,locomotive,retrofitted1,WS_02,
1005.0,2025-12-01T16:45:00+00:00,W0015,wagon,WS_02,,WS_02|retrofitted1
1005.0,2025-12-01T16:45:00+00:00,W0016,wagon,WS_02,,WS_02|retrofitted1
1010.0,2025-12-01T16:50:00+00:00,W0015,wagon,retrofitted1,,
1010.0,2025-12-01T16:50:00+00:00,W0016,wagon,retrofitted1,,
1010.0,2025-12-01T16:50:00+00:00,LOCO_04,locomotive,track_19,retrofitted1,
1015.0,2025-12-01T16:55:00+00:00,LOCO_01,locomotive,retrofit1,collection2,
1015.0,2025-12-01T16:55:00+00:00,W0056,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0057,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0058,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0059,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0060,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0061,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0063,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0064,wagon,collection2,,collection2|Mainline|retrofit1
1015.0,2025-12-01T16:55:00+00:00,W0065,wagon,collection2,,collection2|Mainline|retrofit1
1017.0,2025-12-01T16:57:00+00:00,LOCO_04,locomotive,retrofit1,track_19,
1025.0,2025-12-01T17:05:00+00:00,LOCO_04,locomotive,WS_01,retrofit1,
1025.0,2025-12-01T17:05:00+00:00,W0019,wagon,retrofit1,,retrofit1|WS_01
1025.0,2025-12-01T17:05:00+00:00,W0020,wagon,retrofit1,,retrofit1|WS_01
1030.0,2025-12-01T17:10:00+00:00,W0019,wagon,WS_01,,
1030.0,2025-12-01T17:10:00+00:00,W0020,wagon,WS_01,,
1033.5,2025-12-01T17:13:30+00:00,LOCO_02,locomotive,WS_03,track_19,
1036.0,2025-12-01T17:16:00+00:00,W0019,wagon,WS_01,,
1036.0,2025-12-01T17:16:00+00:00,W0020,wagon,WS_01,,
1036.0,2025-12-01T17:16:00+00:00,LOCO_04,locomotive,track_19,WS_01,
1040.5,2025-12-01T17:20:30+00:00,LOCO_02,locomotive,retrofitted1,WS_03,
1040.5,2025-12-01T17:20:30+00:00,W0017,wagon,WS_03,,WS_03|retrofitted1
1040.5,2025-12-01T17:20:30+00:00,W0018,wagon,WS_03,,WS_03|retrofitted1
1043.0,2025-12-01T17:23:00+00:00,LOCO_04,locomotive,retrofit1,track_19,
1045.5,2025-12-01T17:25:30+00:00,W0017,wagon,retrofitted1,,
1045.5,2025-12-01T17:25:30+00:00,W0018,wagon,retrofitted1,,
1045.5,2025-12-01T17:25:30+00:00,LOCO_02,locomotive,track_19,retrofitted1,
1050.5,2025-12-01T17:30:30+00:00,W0023,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0024,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0025,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0026,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0027,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0028,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0029,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0030,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0031,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0032,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0033,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0034,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0035,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0036,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,W0037,wagon,retrofit2,,
1050.5,2025-12-01T17:30:30+00:00,LOCO_02,locomotive,retrofitted1,track_19,
1051.0,2025-12-01T17:31:00+00:00,LOCO_04,locomotive,WS_02,retrofit1,
1051.0,2025-12-01T17:31:00+00:00,W0021,wagon,retrofit1,,retrofit1|WS_02
1051.0,2025-12-01T17:31:00+00:00,W0022,wagon,retrofit1,,retrofit1|WS_02
1056.0,2025-12-01T17:36:00+00:00,W0021,wagon,WS_02,,
1056.0,2025-12-01T17:36:00+00:00,W0022,wagon,WS_02,,
1058.5,2025-12-01T17:38:30+00:00,LOCO_02,locomotive,parking12,retrofitted1,
1062.0,2025-12-01T17:42:00+00:00,W0021,wagon,WS_02,,
