timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
3970.5,2025-12-03T18:10:30+00:00,W0133,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
3971.0,2025-12-03T18:11:00+00:00,W0172,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
3971.0,2025-12-03T18:11:00+00:00,W0173,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
3976.5,2025-12-03T18:16:30+00:00,W0189,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
3986.0,2025-12-03T18:26:00+00:00,W0134,,MOVING,retrofit1,MOVING,,
3986.0,2025-12-03T18:26:00+00:00,W0145,,MOVING,retrofit1,MOVING,,
3991.0,2025-12-03T18:31:00+00:00,W0134,,AT_WORKSHOP,WS_03,ARRIVED,,
3991.0,2025-12-03T18:31:00+00:00,W0145,,AT_WORKSHOP,WS_03,ARRIVED,,
3992.0,2025-12-03T18:32:00+00:00,W0141,,PARKED,parking7,PARKED,,
3992.0,2025-12-03T18:32:00+00:00,W0142,,PARKED,parking7,PARKED,,
3992.0,2025-12-03T18:32:00+00:00,W0130,,PARKED,parking7,PARKED,,
3992.0,2025-12-03T18:32:00+00:00,W0131,,PARKED,parking7,PARKED,,
3994.5,2025-12-03T18:34:30+00:00,W0135,,MOVING,retrofit2,MOVING,,
3994.5,2025-12-03T18:34:30+00:00,W0136,,MOVING,retrofit2,MOVING,,
3997.0,2025-12-03T18:37:00+00:00,W0134,,RETROFIT_STARTED,WS_03,PROCESSING,,
3997.0,2025-12-03T18:37:00+00:00,W0145,,RETROFIT_STARTED,WS_03,PROCESSING,,
3999.5,2025-12-03T18:39:30+00:00,W0135,,AT_WORKSHOP,WS_01,ARRIVED,,
3999.5,2025-12-03T18:39:30+00:00,W0136,,AT_WORKSHOP,WS_01,ARRIVED,,
4005.5,2025-12-03T18:45:30+00:00,W0135,,RETROFIT_STARTED,WS_01,PROCESSING,,
4005.5,2025-12-03T18:45:30+00:00,W0136,,RETROFIT_STARTED,WS_01,PROCESSING,,
4007.0,2025-12-03T18:47:00+00:00,W0174,,MOVING,retrofit1,MOVING,,
4007.0,2025-12-03T18:47:00+00:00,W0175,,MOVING,retrofit1,MOVING,,
4012.0,2025-12-03T18:52:00+00:00,W0174,,AT_WORKSHOP,WS_02,ARRIVED,,
4012.0,2025-12-03T18:52:00+00:00,W0175,,AT_WORKSHOP,WS_02,ARRIVED,,
4018.0,2025-12-03T18:58:00+00:00,W0174,,RETROFIT_STARTED,WS_02,PROCESSING,,
4018.0,2025-12-03T18:58:00+00:00,W0175,,RETROFIT_STARTED,WS_02,PROCESSING,,
4028.5,2025-12-03T19:08:30+00:00,W0171,,PARKED,parking8,PARKED,,
4028.5,2025-12-03T19:08:30+00:00,W0143,,PARKED,parking8,PARKED,,
4028.5,2025-12-03T19:08:30+00:00,W0132,,PARKED,parking8,PARKED,,
