timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1490.5,2025-12-02T00:50:30+00:00,LOCO_03,MOVING,track_19,collection1,
1491.0,2025-12-02T00:51:00+00:00,LOCO_02,MOVING,retrofit2,WS_02,
1502.0,2025-12-02T01:02:00+00:00,LOCO_02,MOVING,WS_02,track_19,
1510.5,2025-12-02T01:10:30+00:00,LOCO_02,MOVING,track_19,WS_03,
1517.5,2025-12-02T01:17:30+00:00,LOCO_02,MOVING,WS_03,retrofitted1,
1522.5,2025-12-02T01:22:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1529.5,2025-12-02T01:29:30+00:00,LOCO_02,MOVING,track_19,retrofit1,
1537.5,2025-12-02T01:37:30+00:00,LOCO_02,MOVING,retrofit1,WS_03,
1548.5,2025-12-02T01:48:30+00:00,LOCO_02,MOVING,WS_03,track_19,
1550.5,2025-12-02T01:50:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1553.0,2025-12-02T01:53:00+00:00,LOCO_01,MOVING,parking15,track_19,
1553.5,2025-12-02T01:53:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1557.5,2025-12-02T01:57:30+00:00,LOCO_04,MOVING,retrofit2,track_19,
1559.5,2025-12-02T01:59:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1560.5,2025-12-02T02:00:30+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
1562.5,2025-12-02T02:02:30+00:00,LOCO_04,PARKING,,,
1562.5,2025-12-02T02:02:30+00:00,LOCO_04,MOVING,track_19,WS_02,
1565.5,2025-12-02T02:05:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1569.5,2025-12-02T02:09:30+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1570.5,2025-12-02T02:10:30+00:00,LOCO_02,MOVING,track_19,collection2,
1574.5,2025-12-02T02:14:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1581.5,2025-12-02T02:21:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1589.5,2025-12-02T02:29:30+00:00,LOCO_04,MOVING,retrofit2,WS_01,
1600.5,2025-12-02T02:40:30+00:00,LOCO_04,MOVING,WS_01,track_19,
1607.5,2025-12-02T02:47:30+00:00,LOCO_04,MOVING,track_19,retrofit1,
1613.0,2025-12-02T02:53:00+00:00,LOCO_01,MOVING,track_19,WS_03,
1615.5,2025-12-02T02:55:30+00:00,LOCO_04,MOVING,retrofit1,WS_02,
1620.0,2025-12-02T03:00:00+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
1625.0,2025-12-02T03:05:00+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1626.5,2025-12-02T03:06:30+00:00,LOCO_04,MOVING,WS_02,track_19,
1630.0,2025-12-02T03:10:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1630.0,2025-12-02T03:10:00+00:00,LOCO_01,MOVING,track_19,retrofitted1,
1630.5,2025-12-02T03:10:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1633.5,2025-12-02T03:13:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1639.5,2025-12-02T03:19:30+00:00,LOCO_02,MOVING,collection2,retrofit2,
1640.0,2025-12-02T03:20:00+00:00,LOCO_01,MOVING,retrofitted1,parking10,
1640.5,2025-12-02T03:20:30+00:00,LOCO_03,MOVING,retrofit1,track_19,
1641.5,2025-12-02T03:21:30+00:00,LOCO_04,MOVING,retrofit2,WS_03,
1645.5,2025-12-02T03:25:30+00:00,LOCO_03,PARKING,,,
1645.5,2025-12-02T03:25:30+00:00,LOCO_03,MOVING,track_19,collection1,
1652.5,2025-12-02T03:32:30+00:00,LOCO_04,MOVING,WS_03,track_19,
1661.0,2025-12-02T03:41:00+00:00,LOCO_04,MOVING,track_19,WS_01,
1668.0,2025-12-02T03:48:00+00:00,LOCO_04,MOVING,WS_01,retrofitted1,
1673.0,2025-12-02T03:53:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1680.0,2025-12-02T04:00:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
1688.0,2025-12-02T04:08:00+00:00,LOCO_04,MOVING,retrofit1,WS_01,
1699.0,2025-12-02T04:19:00+00:00,LOCO_04,MOVING,WS_01,track_19,
1704.0,2025-12-02T04:24:00+00:00,LOCO_04,MOVING,track_19,WS_02,
1705.5,2025-12-02T04:25:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1707.5,2025-12-02T04:27:30+00:00,LOCO_01,MOVING,parking10,track_19,
1711.0,2025-12-02T04:31:00+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1714.5,2025-12-02T04:34:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1716.0,2025-12-02T04:36:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1720.5,2025-12-02T04:40:30+00:00,LOCO_02,MOVING,retrofit2,track_19,
1721.0,2025-12-02T04:41:00+00:00,LOCO_04,MOVING,track_19,WS_03,
1725.5,2025-12-02T04:45:30+00:00,LOCO_02,PARKING,,,
1727.5,2025-12-02T04:47:30+00:00,LOCO_02,MOVING,track_19,retrofit2,
1728.0,2025-12-02T04:48:00+00:00,LOCO_04,MOVING,WS_03,retrofitted1,
1733.0,2025-12-02T04:53:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1735.5,2025-12-02T04:55:30+00:00,LOCO_02,MOVING,retrofit2,WS_02,
1738.0,2025-12-02T04:58:00+00:00,LOCO_04,MOVING,track_19,collection2,
1746.5,2025-12-02T05:06:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1753.5,2025-12-02T05:13:30+00:00,LOCO_02,MOVING,track_19,retrofit1,
1761.5,2025-12-02T05:21:30+00:00,LOCO_02,MOVING,retrofit1,WS_03,
1767.5,2025-12-02T05:27:30+00:00,LOCO_01,MOVING,track_19,WS_01,
1772.5,2025-12-02T05:32:30+00:00,LOCO_02,MOVING,WS_03,track_19,
1774.5,2025-12-02T05:34:30+00:00,LOCO_01,MOVING,WS_01,retrofitted1,
1777.5,2025-12-02T05:37:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1777.5,2025-12-02T05:37:30+00:00,LOCO_02,MOVING,track_19,retrofitted1,
1779.5,2025-12-02T05:39:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1786.5,2025-12-02T05:46:30+00:00,LOCO_01,MOVING,track_19,retrofit2,
1787.5,2025-12-02T05:47:30+00:00,LOCO_02,MOVING,retrofitted1,parking9,
1794.5,2025-12-02T05:54:30+00:00,LOCO_01,MOVING,retrofit2,WS_01,
1795.5,2025-12-02T05:55:30+00:00,LOCO_03,MOVING,retrofit1,track_19,
1798.0,2025-12-02T05:58:00+00:00,LOCO_04,ALLOCATED,,,batch_transport
1800.0,2025-12-02T06:00:00+00:00,LOCO_02,MOVING,parking9,track_19,
1800.5,2025-12-02T06:00:30+00:00,LOCO_03,PARKING,,,
1800.5,2025-12-02T06:00:30+00:00,LOCO_03,MOVING,track_19,collection1,
1805.0,2025-12-02T06:05:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
1805.0,2025-12-02T06:05:00+00:00,LOCO_02,MOVING,track_19,retrofitted1,
1805.5,2025-12-02T06:05:30+00:00,LOCO_01,MOVING,WS_01,track_19,
1810.5,2025-12-02T06:10:30+00:00,LOCO_01,MOVING,track_19,WS_02,
1811.0,2025-12-02T06:11:00+00:00,LOCO_04,MOVING,collection2,retrofit2,
1812.0,2025-12-02T06:12:00+00:00,LOCO_02,MOVING,retrofitted1,parking12,
1817.5,2025-12-02T06:17:30+00:00,LOCO_01,MOVING,WS_02,retrofitted1,
1822.5,2025-12-02T06:22:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
