timestamp,datetime,event_type,resource_type,resource_id,details
2153.0,2025-12-02T11:53:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0053,"{""location"": ""WS_02"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2153.0,2025-12-02T11:53:00+00:00,WagonRETROFIT_COMPLETEDEvent,wagon,W0054,"{""location"": ""WS_02"", ""status"": ""COMPLETED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2153.5,2025-12-02T11:53:30+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0150,"{""location"": ""collection3"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2153.5,2025-12-02T11:53:30+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0151,"{""location"": ""collection3"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2153.5,2025-12-02T11:53:30+00:00,WagonRAKE_COUPLING_STARTEDEvent,wagon,W0152,"{""location"": ""collection3"", ""status"": ""COUPLING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2153.5,2025-12-02T11:53:30+00:00,LocomotiveALLOCATEDEvent,locomotive,LOCO_01,"{""from_location"": """", ""to_location"": """", ""purpose"": ""batch_transport""}"
2153.5,2025-12-02T11:53:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""track_19"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
2153.5,2025-12-02T11:53:30+00:00,BatchFormed,batch,BATCH_retrofit_3_2500867316688,"{""destination"": ""retrofit"", ""wagon_count"": 3, ""locomotive_id"": """", ""wagon_ids"": ""W0150,W0151,W0152""}"
2160.5,2025-12-02T12:00:30+00:00,WagonMOVINGEvent,wagon,W0150,"{""location"": ""collection3"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2160.5,2025-12-02T12:00:30+00:00,WagonMOVINGEvent,wagon,W0151,"{""location"": ""collection3"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
