timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
3662.5,2025-12-03T13:02:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3662.5,2025-12-03T13:02:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3683.5,2025-12-03T13:23:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3722.5,2025-12-03T14:02:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3743.5,2025-12-03T14:23:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3822.5,2025-12-03T15:42:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
3835.5,2025-12-03T15:55:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3848.5,2025-12-03T16:08:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3882.5,2025-12-03T16:42:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
3895.5,2025-12-03T16:55:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3908.5,2025-12-03T17:08:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3997.0,2025-12-03T18:37:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4005.5,2025-12-03T18:45:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4018.0,2025-12-03T18:58:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4057.0,2025-12-03T19:37:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4065.5,2025-12-03T19:45:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4078.0,2025-12-03T19:58:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4104.0,2025-12-03T20:24:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4147.0,2025-12-03T21:07:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4147.5,2025-12-03T21:07:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4164.0,2025-12-03T21:24:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
